,entities,labels
72,Osteoarthritis deformans endemica,10031161
73,Osteoarthritis flare up,10031161
74,Osteoarthritis generalised,10031161
75,Osteoarthritis knee,10031161
76,Osteoarthritis knees,10031161
77,Osteoarthritis NOS,10031161
78,Osteoarthritis shoulders,10031161
79,Osteoarthrosis,10031161
80,Osteoarthrosis and allied disorders,10031161
81,"Osteoarthrosis involving more than one site, but not spec as generalized, and involving unspec site",10031161
82,"Osteoarthrosis involving or with mention of more than one site, but not specified as generalized",10031161
83,"Osteoarthrosis involving or with mention of more than one site, but not specified as generalized, an",10031161
84,"Osteoarthrosis involving or with mention of multiple sites, but not specified as generalized",10031161
85,"Osteoarthrosis, generalised",10031161
86,"Osteoarthrosis, generalized",10031161
87,"Osteoarthrosis, generalized, involving hand",10031161
88,"Osteoarthrosis, generalized, involving multiple sites",10031161
89,"Osteoarthrosis, generalized, involving unspecified site",10031161
90,"Osteoarthrosis, localised, primary",10031161
91,"Osteoarthrosis, localised, primary, involving forearm",10031161
92,"Osteoarthrosis, localised, primary, involving hand",10031161
93,"Osteoarthrosis, localised, primary, involving lower leg",10031161
94,"Osteoarthrosis, localised, primary, involving shoulder region",10031161
95,"Osteoarthrosis, localised, primary, involving upper arm",10031161
96,"Osteoarthrosis, localised, secondary",10031161
97,"Osteoarthrosis, localised, secondary, involving forearm",10031161
98,"Osteoarthrosis, localised, secondary, involving hand",10031161
99,"Osteoarthrosis, localised, secondary, involving lower leg",10031161
100,"Osteoarthrosis, localised, secondary, involving shoulder region",10031161
101,"Osteoarthrosis, localised, secondary, involving upper arm",10031161
102,"Osteoarthrosis, localized, not spec whether primary or secondary, involving oth spec sites",10031161
103,"Osteoarthrosis, localized, not spec whether primary or secondary, involving pelvic region and thigh",10031161
104,"Osteoarthrosis, localized, not specified whether primary or secondary",10031161
105,"Osteoarthrosis, localized, not specified whether primary or secondary, involving ankle and foot",10031161
106,"Osteoarthrosis, localized, not specified whether primary or secondary, involving forearm",10031161
107,"Osteoarthrosis, localized, not specified whether primary or secondary, involving hand",10031161
108,"Osteoarthrosis, localized, not specified whether primary or secondary, involving lower leg",10031161
109,"Osteoarthrosis, localized, not specified whether primary or secondary, involving other specified sit",10031161
110,"Osteoarthrosis, localized, not specified whether primary or secondary, involving pelvic region and t",10031161
111,"Osteoarthrosis, localized, not specified whether primary or secondary, involving shoulder region",10031161
112,"Osteoarthrosis, localized, not specified whether primary or secondary, involving unspecified site",10031161
113,"Osteoarthrosis, localized, not specified whether primary or secondary, involving upper arm",10031161
114,"Osteoarthrosis, localized, primary",10031161
115,"Osteoarthrosis, localized, primary, involving ankle and foot",10031161
116,"Osteoarthrosis, localized, primary, involving forearm",10031161
117,"Osteoarthrosis, localized, primary, involving hand",10031161
118,"Osteoarthrosis, localized, primary, involving lower leg",10031161
119,"Osteoarthrosis, localized, primary, involving other specified sites",10031161
120,"Osteoarthrosis, localized, primary, involving pelvic region and thigh",10031161
121,"Osteoarthrosis, localized, primary, involving shoulder region",10031161
122,"Osteoarthrosis, localized, primary, involving unspecified site",10031161
123,"Osteoarthrosis, localized, primary, involving upper arm",10031161
124,"Osteoarthrosis, localized, secondary",10031161
125,"Osteoarthrosis, localized, secondary, involving ankle and foot",10031161
126,"Osteoarthrosis, localized, secondary, involving forearm",10031161
127,"Osteoarthrosis, localized, secondary, involving hand",10031161
128,"Osteoarthrosis, localized, secondary, involving lower leg",10031161
129,"Osteoarthrosis, localized, secondary, involving other specified sites",10031161
130,"Osteoarthrosis, localized, secondary, involving pelvic region and thigh",10031161
131,"Osteoarthrosis, localized, secondary, involving shoulder region",10031161
132,"Osteoarthrosis, localized, secondary, involving unspecified site",10031161
133,"Osteoarthrosis, localized, secondary, involving upper arm",10031161
134,"Osteoarthrosis, unspecified whether generalized or localized",10031161
135,"Osteoarthrosis, unspecified whether generalized or localized, involving ankle and foot",10031161
136,"Osteoarthrosis, unspecified whether generalized or localized, involving forearm",10031161
137,"Osteoarthrosis, unspecified whether generalized or localized, involving hand",10031161
138,"Osteoarthrosis, unspecified whether generalized or localized, involving lower leg",10031161
139,"Osteoarthrosis, unspecified whether generalized or localized, involving other specified sites",10031161
140,"Osteoarthrosis, unspecified whether generalized or localized, involving pelvic region and thigh",10031161
141,"Osteoarthrosis, unspecified whether generalized or localized, involving shoulder region",10031161
142,"Osteoarthrosis, unspecified whether generalized or localized, involving unspecified site",10031161
143,"Osteoarthrosis, unspecified whether generalized or localized, involving upper arm",10031161
144,PIP OA,10031161
145,Primary osteoarthritis,10031161
146,Rhizarthrosis,10031161
147,Shoulder osteoarthritis,10031161
148,Temporomandibular joint osteoarthritis,10031161
149,Thumb osteoarthritis,10031161
150,Toe osteoarthritis,10031161
151,Trapeziometacarpal osteoarthritis,10031161
152,Valgus gonarthrosis,10031161
153,Varus gonarthrosis,10031161
154,Wrist osteoarthritis,10031161
155,RA,10039073
156,Arthritis rheumatoid,10039073
157,Arthritis rheumatoid aggravated,10039073
158,Chronic post rheumatic arthropathy,10039073
159,Chronic postrheumatic arthropathy,10039073
160,Monoarthritic rheumatoid arthritis,10039073
161,Other rheumatoid arthritis with visceral or systemic involvement,10039073
162,Progression of rheumatoid arthritis,10039073
163,Proliferative arthritis,10039073
164,R arthritis,10039073
165,Rh arthritis,10039073
166,Rheumatic arthritis acute,10039073
167,Rheumatoid arthritis,10039073
168,Rheumatoid arthritis aggravated,10039073
169,Rheumatoid arthritis and other inflammatory polyarthropathies,10039073
170,Rheumatoid arthritis flare up,10039073
171,Rheumatoid arthropathy,10039073
172,Seronegative rheumatoid arthritis,10039073
173,Seropositive RA,10039073
174,Seropositive rheumatoid arthritis,10039073
175,Spinal rheumatoid arthritis,10039073
176,Systemic rheumatoid arthritis,10039073
177,11-beta-hydroxylase deficiency,10000002
178,"17,20-desmolase deficiency",10000013
179,17-alpha-hydroxylase deficiency,10000014
180,18q minus syndrome,10068533
181,18q syndrome,10068533
182,1p36 deletion syndrome,10082398
183,"20,22-desmolase deficiency",10000020
184,21-hydroxylase deficiency,10000021
185,2-Hydroxyglutaric aciduria,10078971
186,3-hydroxyacetyl-coenzyme A dehydrogenase deficiency,10072273
187,3M syndrome,10081775
188,5-alpha-reductase deficiency,10000029
189,5q minus MDS,10068532
190,5q minus myelodysplastic syndrome,10068532
191,5q minus syndrome,10068532
192,5q-syndrome,10068532
193,Chromosome 5q deletion,10068532
194,A2 pulley injury,10061223
195,Finger tendon pulley injury,10061223
196,Knee ligament injury,10061223
197,Ligament injury,10061223
198,Ligament injury NOS,10061223
199,A2 pulley rupture,10065433
200,Anterior cruciate ligament tear,10065433
201,Desmorrhexis,10065433
202,Finger tendon pulley rupture,10065433
203,Joint ligament rupture,10065433
204,Ligament rupture,10065433
205,Ligament tear,10065433
206,Old disruption of anterior cruciate ligament,10065433
207,Old disruption of lateral collateral ligament,10065433
208,Old disruption of medial collateral ligament,10065433
209,Old disruption of other ligaments of knee,10065433
210,Old disruption of posterior cruciate ligament,10065433
211,Posterior cruciate ligament tear,10065433
212,Shoulder ligament rupture,10065433
213,Talofibular ligament tear,10065433
214,AAION,10030924
215,AION,10030924
216,Anterior ischaemic optic neuropathy,10030924
217,Anterior ischemic optic neuropathy,10030924
218,Arteritic anterior ischaemic optic neuropathy,10030924
219,Arteritic anterior ischemic optic neuropathy,10030924
220,Arteritic ischaemic optic neuropathy,10030924
221,Arteritic ischemic optic neuropathy,10030924
222,Ischaemic optic neuropathy,10030924
223,Ischemic optic neuropathy,10030924
224,NAION,10030924
225,Nonarteritic anterior ischaemic optic neuropathy,10030924
226,Nonarteritic anterior ischemic optic neuropathy,10030924
227,Nonarteritic ischaemic optic neuropathy,10030924
228,Nonarteritic ischemic optic neuropathy,10030924
229,Optic ischaemic neuropathy,10030924
230,Optic ischemic neuropathy,10030924
231,Aarskog syndrome,10067141
232,Aarskog-Scott syndrome,10067141
233,Faciodigitogenital dysplasia,10067141
234,Aase syndrome,10063429
235,Abasia,10017581
236,Abasic,10017581
237,Gait inability,10017581
238,Unable to walk,10017581
239,Abdominal diastasis,10073169
240,Diastasis of muscle,10073169
241,Diastasis recti abdominis,10073169
242,Abdominal fat apron,10077983
243,Panniculus,10077983
244,Pendulous abdomen,10077983
245,Abdominal fibromatosis,10059352
246,Desmoid tumor,10059352
247,Desmoid tumour,10059352
248,Abdominal flaccidity,10021118
249,Atonia,10021118
250,Atony skeletal muscle,10021118
251,Decreased muscle tone,10021118
252,Flaccidity,10021118
253,Flaccidity muscle,10021118
254,Floppy,10021118
255,Generalised atony,10021118
256,Generalized atony,10021118
257,Hypotonia,10021118
258,M relaxation,10021118
259,Muscle flaccid,10021118
260,Muscle hypotonia,10021118
261,Muscle relaxation,10021118
262,Muscle tone decreased,10021118
263,Muscle tone flaccid,10021118
264,Non-depolarising relaxant,10021118
265,Skeletal muscle atony,10021118
266,Abdominal migraine,10049714
267,Abdominal neoplasm,10060925
268,Abdominal neoplasm NOS,10060925
269,Abdominal tumor,10060925
270,Abdominal tumour,10060925
271,Abdominal obesity,10065941
272,Central obesity,10065941
273,Truncal obesity,10065941
274,Abdominal soft tissue necrosis,10065769
275,Head soft tissue necrosis,10065769
276,Neck soft tissue necrosis,10065769
277,Pelvic soft tissue necrosis,10065769
278,Soft tissue necrosis,10065769
279,Soft tissue necrosis lower limb,10065769
280,Soft tissue necrosis upper limb,10065769
281,Abdominal wall cyst,10051634
282,Abdominal wall edema,10082609
283,Abdominal wall oedema,10082609
284,Abdominal wall neoplasm,10061610
285,Abdominal wall neoplasm NOS,10061610
286,Abdominal wall neoplasm benign,10071022
287,Abdominal wall neoplasm malignant,10071023
288,Abdominal wall strained,10050031
289,Adductor strain,10050031
290,Athletic pubalgia,10050031
291,Back strain,10050031
292,Gilmore's groin,10050031
293,Groin strain,10050031
294,Low back strain,10050031
295,Lumbar strain,10050031
296,Lumbosacral strain,10050031
297,Muscle sprain,10050031
298,Muscle sprains,10050031
299,Muscle strain,10050031
300,Neck sprains and strains,10050031
301,Neck strain,10050031
302,Partial tear of muscle,10050031
303,Pulled hamstring,10050031
304,Pulled muscle,10050031
305,Rectus muscle strain,10050031
306,Shoulder muscle strain,10050031
307,Sports hernia,10050031
308,Sprained hamstring,10050031
309,Strain,10050031
310,Subscapularis (muscle) sprain,10050031
311,Subscapularis (muscle) strain,10050031
312,Tennis leg,10050031
313,Thigh strain,10050031
314,Abducens nerve disorder,10053646
315,VIth nerve disorder,10053646
316,Abducens paralysis,10047641
317,Abducent nerve paralysis,10047641
318,Sixth nerve paralysis,10047641
319,Sixth or abducens nerve palsy,10047641
320,VIth nerve palsy,10047641
321,VIth nerve paralysis,10047641
322,Aberrant motor behavior,10082331
323,Aberrant motor behaviour,10082331
324,Abetalipoproteinaemia,10083851
325,Abetalipoproteinemia,10083851
326,Ablepharon macrostomia syndrome,10083860
327,Abnormal dreams,10000125
328,Bizarre dreams,10000125
329,Dream delirium,10000125
330,Dreaming abnormal,10000125
331,Dreaming excessive,10000125
332,Dreaming excessive due to poor sleep,10000125
333,Dreams abnormal,10000125
334,Dreams bizarre unusual or frightening,10000125
335,Erotic dreams,10000125
336,Lucid dreams,10000125
337,Morbid dreams,10000125
338,Vivid dreams,10000125
339,Abnormal eye movements NOS,10061129
340,Deficiencies of saccadic eye movements,10061129
341,Deficiencies of smooth pursuit movements,10061129
342,Eye movement disorder,10061129
343,Eye movement disorder NOS,10061129
344,Eye rolling,10061129
345,Eyes rolling,10061129
346,Ocular deviation,10061129
347,Other irregularities of eye movements,10061129
348,Unilateral eye abduction,10061129
349,Unilateral eye adduction,10061129
350,Unspecified disorder of eye movements,10061129
351,Abnormal gait,10017577
352,Abnormality of gait,10017577
353,Antalgic gait,10017577
354,Difficulty in walking,10017577
355,Difficulty in walking involving ankle and foot joint,10017577
356,Difficulty in walking involving joint of multiple sites,10017577
357,Difficulty in walking involving joint of other specified sites,10017577
358,Difficulty in walking involving joint of pelvic region and thigh,10017577
359,"Difficulty in walking involving joint, site unspecified",10017577
360,Difficulty in walking involving lower leg joint,10017577
361,Disorder gait,10017577
362,Dysbasia,10017577
363,Gait abnormal,10017577
364,Gait abnormal NOS,10017577
365,Gait broadened,10017577
366,Gait disorder,10017577
367,Gait disturbance,10017577
368,Gait instability,10017577
369,Gait shuffling,10017577
370,Gait staggering,10017577
371,Gait stumbling,10017577
372,Gait tripping,10017577
373,Gait unsteady,10017577
374,Instability gait,10017577
375,Leg dragging,10017577
376,Limping,10017577
377,Staggering,10017577
378,Staggering gait,10017577
379,Steppage gait,10017577
380,Stepping,10017577
381,Stumbling,10017577
382,Titubation,10017577
383,Unsteady gait,10017577
384,Waddling gait,10017577
385,Walking difficulty,10017577
386,Wide-based gait,10017577
387,Abnormal glucose tolerance,10018429
388,Borderline diabetes,10018429
389,Chemical diabetes,10018429
390,Glucose intolerance,10018429
391,Glucose tolerance abnormal,10018429
392,Glucose tolerance impaired,10018429
393,Latent diabetes,10018429
394,Prediabetes,10018429
395,Pre-diabetes,10018429
396,Pre-diabetic,10018429
397,Subclinical diabetes,10018429
398,Abnormal glucose tolerance in pregnancy,10018430
399,"Abnormal glucose tolerance of mother, antepartum",10018430
400,"Abnormal glucose tolerance of mother, comp pregnancy, childbirth, or the puerp, unspec as to eoc",10018430
401,"Abnormal glucose tolerance of mother, complicating pregnancy, childbirth, or the puerperium",10018430
402,"Abnormal glucose tolerance of mother, postpartum",10018430
403,"Abnormal glucose tolerance of mother, with delivery",10018430
404,"Abnormal glucose tolerance of mother, with delivery, with mention of postpartum complication",10018430
405,Glucose intolerance during pregnancy,10018430
406,Glucose tolerance impaired in pregnancy,10018430
407,Abnormal innervation syndrome of eyelid,10061312
408,Neurological eyelid disorder,10061312
409,Neurological eyelid disorder NOS,10061312
410,Other sensorimotor disorders of eyelid,10061312
411,Abnormal involuntary movements,10013916
412,Acute dyskinesia,10013916
413,Body movements involuntary,10013916
414,Dyskinesia,10013916
415,Dyskinesia acute,10013916
416,Dyskinesia aggravated,10013916
417,Dyskinesia buccoglossal,10013916
418,Dyskinesia circumoral,10013916
419,Dyskinesia NEC,10013916
420,Dyskinesia syndrome,10013916
421,Dyskinetic syndrome,10013916
422,Head-face-neck syndrome,10013916
423,Head-face-neck-syndrome,10013916
424,Involuntary movement (NOS,10013916
425,Involuntary movement oral,10013916
426,Involuntary movement oral (circumoral,10013916
427,Involuntary muscle movement,10013916
428,Jerkiness,10013916
429,Jerky movement NOS,10013916
430,Mouth movement impaired,10013916
431,Movements abnormal,10013916
432,Movements involuntary,10013916
433,Movements involuntary (NOS,10013916
434,Movements involuntary of limbs,10013916
435,Movements involuntary of muscle,10013916
436,Movements spastic involuntary,10013916
437,Muscle movement involuntary,10013916
438,Oral dyskinesia,10013916
439,Orofacial dyskinesia,10013916
440,Syndrome dyskinetic,10013916
441,Syndrome head-face-neck,10013916
442,Tongue protrusion spastic involun,10013916
443,Tongue protrusion spastic involuntary,10013916
444,Abnormal loss of weight,10000159
445,Unintentional weight loss,10000159
446,Abnormal physical sensation,10040026
447,Abnormal sensation of limbs,10040026
448,Nipple sensation changes,10040026
449,Pseudaesthesia,10040026
450,Pseudesthesia,10040026
451,Sensory aberrations,10040026
452,Sensory abnormality of lower extremities,10040026
453,Sensory disturbance,10040026
454,Sensory disturbance NOS,10040026
455,"Abnormal pupillary function, unspecified",10037521
456,Anomalies of pupillary function,10037521
457,Other anomalies of pupillary function,10037521
458,Pupillary abnormalities,10037521
459,Pupillary disorder,10037521
460,Pupillary disorder NOS,10037521
461,Abnormal reflex,10038254
462,Reflexes abnormal,10038254
463,Reflexes abnormal NEC,10038254
464,Unequal reflexes,10038254
465,Abnormal sleep-related event,10061613
466,Abnormal sleep-related event NOS,10061613
467,Abnormal thinking,10043431
468,Irrational,10043431
469,Thinking abnormal,10043431
470,Thinking abnormal NEC,10043431
471,Thinking abnormal NOS,10043431
472,Thinking irrational,10043431
473,Thought disorder,10043431
474,Thought process disorder,10043431
475,Wandering thoughts,10043431
476,Abnormal touch sensation,10033775
477,Acroparaesthesia,10033775
478,Acroparesthesia,10033775
479,Ascending paraesthesia,10033775
480,Ascending paresthesia,10033775
481,Brachialgia statica paraesthetica,10033775
482,Brachialgia statica paresthetica,10033775
483,Disturbance of skin sensation,10033775
484,Drawing neck,10033775
485,Facial paraesthesia,10033775
486,Facial paresthesia,10033775
487,Localised tingling,10033775
488,Localized tingling,10033775
489,Paraesthesia,10033775
490,Paraesthesia aggravated,10033775
491,Paraesthesia distal,10033775
492,Paraesthesia foot,10033775
493,Paraesthesia generalised,10033775
494,Paraesthesia hand,10033775
495,Paraesthesia lower limb,10033775
496,Paraesthesia NEC,10033775
497,Paraesthesia of fingers,10033775
498,Paraesthesia of limbs,10033775
499,Paraesthesia of scalp,10033775
500,Paraesthesia skin,10033775
501,Paraesthesia upper limb,10033775
502,Parasthesia,10033775
503,Parasthesiae distal,10033775
504,Parasthesiae skin,10033775
505,Paresthesia,10033775
506,Paresthesia aggravated,10033775
507,Paresthesia distal,10033775
508,Paresthesia foot,10033775
509,Paresthesia generalized,10033775
510,Paresthesia hand,10033775
511,Paresthesia lower limb,10033775
512,Paresthesia of fingers,10033775
513,Paresthesia of limbs,10033775
514,Paresthesia of scalp,10033775
515,Paresthesia skin,10033775
516,Paresthesia upper limb,10033775
517,Periorbital paraesthesia,10033775
518,Periorbital paresthesia,10033775
519,Pins and needles,10033775
520,Pricking skin sensation,10033775
521,Prickling of hand,10033775
522,Tingling,10033775
523,Tingling feet/hands,10033775
524,Tingling of extremity,10033775
525,Tingling sensation,10033775
526,Tingling skin,10033775
527,Abnormal vertebral facets,10048877
528,Vertebral lesion,10048877
529,Abnormal weight gain,10000188
530,Unintentional weight gain,10000188
531,Abnormal words or word usage NOS,10041466
532,Babbling,10041466
533,Defect speech (NOS,10041466
534,Disorder speech,10041466
535,Inappropriate speech,10041466
536,Lisp,10041466
537,Mumbling,10041466
538,Other speech disturbance,10041466
539,Speech disorder,10041466
540,Speech disorder NEC,10041466
541,Speech impairment NOS,10041466
542,Speech pitch disorder,10041466
543,Vocal sibilation,10041466
544,Abscences,10034759
545,Absence attacks,10034759
546,Absence seizure,10034759
547,Atypical petit mal,10034759
548,Childhood absence epilepsy,10034759
549,Convulsion petit mal,10034759
550,Epilepsy petit mal,10034759
551,Petit mal,10034759
552,Petit mal convulsion,10034759
553,Petit mal epilepsy,10034759
554,"Petit mal status, epileptic",10034759
555,Status epilepticus petit mal,10034759
556,Abscess central nervous system NOS,10061044
557,Central nervous system abscess,10061044
558,CNS abscess NOS,10061044
559,Intracranial and intraspinal abscess,10061044
560,Intracranial and intraspinal abscess of unspecified site,10061044
561,Late effects of intracranial abscess or pyogenic infection,10061044
562,Abscess hand,10050473
563,Abscess leg,10050473
564,Abscess limb,10050473
565,Abscess of finger,10050473
566,Abscess of toe,10050473
567,Abscess on buttock,10050473
568,Foot abscess,10050473
569,Gluteal abscess,10050473
570,Thigh abscess,10050473
571,Abscess jaw,10053573
572,Abscess neck,10053576
573,Cervical abscess,10053576
574,Abscess soft tissue,10050474
575,Absence of cranial vault congenital,10010318
576,Congenital absence of cranial vault,10010318
577,Absence of limbs,10024503
578,Absent limb,10024503
579,Absent limbs,10024503
580,Acheiria,10024503
581,Acheiropody,10024503
582,Amelia,10024503
583,Brachymelia,10024503
584,Congenital hand agenesis,10024503
585,Ectromelia,10024503
586,Ectromelia four limbs,10024503
587,Ectromelia one limb,10024503
588,Ectromelia three limbs,10024503
589,Ectromelia two limbs,10024503
590,Foot agenesis,10024503
591,Hemimelia,10024503
592,Limb reduction defect,10024503
593,Limb reduction deformity,10024503
594,"Longitudinal def, tarsals or metatarsals, complete or partial (with or w/o incomp phalangeal def",10024503
595,"Longitudinal deficiency of lower limb, not elsewhere classified",10024503
596,"Longitudinal deficiency of upper limb, not elsewhere classified",10024503
597,"Longitudinal deficiency, carp or metacarp, complete or partial (with or w/o incomp phalangeal def",10024503
598,"Longitudinal deficiency, combined, involving femur, tibia, and fibula (complete or incomplete",10024503
599,"Longitudinal deficiency, combined, involving humerus, radius, and ulna (complete or incomplete",10024503
600,"Longitudinal deficiency, femoral, complete or partial (with or w/o distal deficiencies, incomplete",10024503
601,"Longitudinal deficiency, fibular, complete or partial (with or w/o distal deficiencies, incomplete",10024503
602,"Longitudinal deficiency, humeral, complete or partial (with or w/o distal deficiencies, incomplete",10024503
603,"Longitudinal deficiency, phalanges of foot, complete or partial (with or w/o distal def, incomplete",10024503
604,"Longitudinal deficiency, phalanges of hand, complete or partial (with or w/o distal def, incomplete",10024503
605,"Longitudinal deficiency, radial, complete or partial (with or w/o distal deficiencies, incomplete",10024503
606,"Longitudinal deficiency, radioulnar, complete or partial (with or w/o distal deficiencies, incomp",10024503
607,"Longitudinal deficiency, tibia, complete or partial (with or w/o distal deficiencies, incomplete",10024503
608,"Longitudinal deficiency, tibiofibular, complete or partial (with or w/o distal deficiencies, incomp",10024503
609,"Longitudinal deficiency, ulnar, complete or partial (with or w/o distal deficiencies, incomplete",10024503
610,Meromelia,10024503
611,Mesomelia,10024503
612,Micromelia,10024503
613,Phocomelia,10024503
614,"Reduction deformities of lower limb, congenital",10024503
615,"Reduction deformities of upper limb, congenital",10024503
616,"Reduction deformities, unspecified limb, congenital",10024503
617,Transverse deficiency of lower limb,10024503
618,Transverse deficiency of upper limb,10024503
619,"Unspecified reduction deformity of lower limb, congenital",10024503
620,"Unspecified reduction deformity of upper limb, congenital",10024503
621,"Absence of muscle and tendon, congenital",10010550
622,Congenital muscle absence,10010550
623,"Absence of vertebra, congenital",10010320
624,Congenital absence of vertebra,10010320
625,Absent ankle jerk,10003084
626,Absent ankle jerks,10003084
627,Absent reflex,10003084
628,Absent reflexes,10003084
629,Areflexia,10003084
630,Cremasteric reflex absent,10003084
631,Loss of gag reflex,10003084
632,Patellar tendon reflex absent,10003084
633,PSR/ASR loss,10003084
634,Reflex loss,10003084
635,Reflexes absent,10003084
636,Tendon reflex absent,10003084
637,Abulia,10050013
638,Hypobulia,10050013
639,Hypobulia (abulia,10050013
640,Indecisiveness,10050013
641,ACAD9 deficiency,10081518
642,Acalculia,10000346
643,Acanthoma,10059394
644,Acanthosis nigricans,10000350
645,Acquired acanthosis nigricans,10000350
646,Acatalasaemia,10086141
647,Acatalasemia,10086141
648,Acatalasia,10086141
649,Acathesia,10001540
650,Acathisia,10001540
651,Akathisia,10001540
652,Akathisia aggravated,10001540
653,Motor restlessness,10001540
654,Motor unrest compulsive,10001540
655,Accelerated nodulosis,10048694
656,Rheumatoid nodule,10048694
657,Accelerated phase chronic myologenic leukaemia,10009013
658,Accelerated phase chronic myologenic leukemia,10009013
659,Chronic granulocytic leukaemia,10009013
660,Chronic granulocytic leukemia,10009013
661,Chronic myelocytic leukaemia,10009013
662,Chronic myelocytic leukemia,10009013
663,Chronic myelogenous leukaemia,10009013
664,Chronic myelogenous leukemia,10009013
665,Chronic myeloid leukaemia,10009013
666,Chronic myeloid leukaemia without mention of remission,10009013
667,Chronic myeloid leukemia,10009013
668,Chronic myeloid leukemia without mention of remission,10009013
669,Chronic phase chronic myeloid leukaemia,10009013
670,Chronic phase chronic myeloid leukemia,10009013
671,CML,10009013
672,CML progression,10009013
673,Leukaemia myelocytic chronic,10009013
674,Leukemia myelocytic chronic,10009013
675,"Myeloid leukaemia, chronic",10009013
676,"Myeloid leukemia, chronic",10009013
677,Non-lymphocytic leukaemia chronic,10009013
678,Non-lymphocytic leukemia chronic,10009013
679,Accessory carpal bone,10000362
680,Accessory carpal bones,10000362
681,Accessory muscle,10000364
682,Accessory navicular syndrome,10062626
683,Accessory nerve disorder,10060929
684,Accessory nerve disorder NOS,10060929
685,Disorders of accessory (11th) nerve,10060929
686,Accident cerebrovascular,10008190
687,Apoplectic fit,10008190
688,Apoplexy,10008190
689,Cerebrovascular accident,10008190
690,Cerebrovascular accident NOS,10008190
691,Cerebrovascular event,10008190
692,CVA,10008190
693,Late effects of cerebral stroke,10008190
694,Middle cerebral artery stroke,10008190
695,Recurrent contralateral stroke,10008190
696,Recurrent ipsilateral stroke,10008190
697,Recurrent stroke,10008190
698,Stroke,10008190
699,Stroke recrudescence,10008190
700,Stroke syndrome,10008190
701,Accommodative component in esotropia,10042159
702,Alternating esotropia,10042159
703,Alternating esotropia with a pattern,10042159
704,Alternating esotropia with other noncomitancies,10042159
705,Alternating esotropia with v pattern,10042159
706,Alternating exotropia,10042159
707,Alternating exotropia with a pattern,10042159
708,Alternating exotropia with other noncomitancies,10042159
709,Alternating exotropia with v pattern,10042159
710,Alternating strabismus,10042159
711,Brown's (tendon) sheath syndrome,10042159
712,Convergent concomitant strabismus,10042159
713,Convergent squint,10042159
714,Cyclotropia,10042159
715,Divergent concomitant strabismus,10042159
716,Divergent squint,10042159
717,Esotropia,10042159
718,"Esotropia, unspecified",10042159
719,Exotropia,10042159
720,"Exotropia, unspecified",10042159
721,Heterotropia,10042159
722,"Heterotropia, unspecified",10042159
723,Hypertropia,10042159
724,Hypotropia,10042159
725,"Intermittent esotropia, alternating",10042159
726,"Intermittent esotropia, monocular",10042159
727,"Intermittent exotropia, alternating",10042159
728,"Intermittent exotropia, monocular",10042159
729,Intermittent heterotropia,10042159
